"User-ID","ISBN","Book-Rating"
"U001","9781259002380","0"
"U002","9788131791862","2"
"U003","9780073523323","10"
"U004","9780262033848","8"
"U005","9781420089654","8"
"U006","9789332552194","4"
"U007","9780195154559","5"
"U008","9789332550152","1"
"U009","9788121917639","0"
"U010","9789339205574","6"
"U011","9781009397759","7"
"U012","9780070659155","9"
"U013","9781119631439","0"
"U014","9788121908839","7"
"U015","9789387869695","1"
"U016","9780198717348","7"
"U017","9781259062865","7"
"U018","9788120331935","8"
"U019","9780307949486","4"
"U020","978000000118","6"
"U021","9780133591620","6"
"U022","9780132350884","2"
"U023","978000000202","3"
"U024","9789384588827","0"
"U025","9788131806696","3"
"U026","9780071770569","8"
"U027","9780132350884","5"
"U028","9780201549799","8"
"U029","9789385998839","6"
"U030","978000000110","8"
"U031","9789332549446","7"
"U032","978000000219","6"
"U033","9781501124020","5"
"U034","9789339221859","2"
"U035","9788121908839","10"
"U036","9788121920725","3"
"U037","9780071470384","4"
"U038","9781259005275","0"
"U039","9789387472154","0"
"U040","9788120333424","10"
"U041","9780071470384","9"
"U042","9780470858923","5"
"U043","9788121900048","2"
"U044","9780128119051","1"
"U045","978000000215","5"
"U046","9788131791862","9"
"U047","978000000114","9"
"U048","9781451673319","7"
"U049","9788120333423","5"
"U050","9780198717348","0"
"U051","9780073397894","2"
"U052","9788121908853","8"
"U053","978000000202","2"
"U054","978000000106","6"
"U055","9780470458365","5"
"U056","978000000118","8"
"U057","9781484228967","0"
"U058","9780070659155","0"
"U059","9788187572680","1"
"U060","9789384588827","3"
"U061","978000000206","3"
"U062","978000000203","0"
"U063","9789384588079","10"
"U064","9780201896831","5"
"U065","978000000216","8"
"U066","9788121908716","8"
"U067","9780262028189","0"
"U068","9780470858923","8"
"U069","9788120336432","10"
"U070","9780470858923","4"
"U071","9788120331935","10"
"U072","978000000201","10"
"U073","9788121908853","2"
"U074","9789332571003","9"
"U075","9781259005275","5"
"U076","9788122431909","4"
"U077","9788126511034","6"
"U078","9788126513871","8"
"U079","9781009397759","10"
"U080","9788131806696","4"
"U081","978000000110","8"
"U082","978000000216","7"
"U083","9788122432364","9"
"U084","978000000202","5"
"U085","978000000102","2"
"U086","9788120330096","2"
"U087","9788131709274","2"
"U088","9788121923792","9"
"U089","9788131709274","4"
"U090","9780307949486","2"
"U091","9781259002380","7"
"U092","9788121908716","6"
"U093","9780747532743","8"
"U094","9780074624715","3"
"U095","9780849331541","9"
"U096","978000000203","0"
"U097","9788131806696","8"
"U098","978000000117","1"
"U099","9789386546436","1"
"U100","978000000218","0"
"U101","9789387472154","5"
